Item Number,Qty 1,Price Code,USD Price Blanks,
HL-102," 	2,500 ",C,0.68,
SM-4830, 	75 ,C,1.31,
SM-4831, 	75 ,C,1.52,
SM-4833, 	250 ,C,0.50,
SM-4834, 	200 ,C,0.41,
SM-4836, 	175 ,C,0.71,
SM-4838, 	150 ,C,0.80,
SM-4839, 	150 ,C,1.25,
SM-4840, 	150 ,C,0.35,
SM-4841, 	150 ,C,0.35,
SM-4843, 	250 ,C,0.41,
SM-4844, 	250 ,C,0.41,
SM-4850, 	75 ,C,1.79,
SM-4851, 	125 ,C,0.89,
SM-4852, 	125 ,C,1.34,
SM-4853, 	100 ,C,1.16,
SM-4855, 	150 ,C,1.07,
SM-4858, 	100 ,C,1.25,
SM-4859, 	125 ,C,1.07,
SM-4860, 	150 ,C,0.89,
SM-4861, 	125 ,C,0.98,
SM-4862, 	100 ,C,1.25,
SM-4880, 	75 ,C,1.43,
SM-4891, 	250 ,C,0.39,
SM-4892, 	250 ,C,0.39,
SM-5001, 	50 ,C,2.69,
SM-5004, 	100 ,C,1.16,
SM-5011, 	100 ,C,1.16,
SM-5012, 	100 ,C,1.25,
SM-5014, 	250 ,C,0.40,
SM-5016, 	125 ,C,1.07,
SM-5206, 	50 ,C,3.14,
SM-6252, 	75 ,C,2.69,
SM-6300, 	72 ,C,2.33,
SM-6301, 	75 ,C,1.07,
SM-6303, 	72 ,C,1.81,
SM-6304, 	72 ,C,2.15,
SM-6306, 	72 ,C,2.15,
SM-6309, 	72 ,C,2.33,
SM-6311, 	72 ,C,2.12,
SM-6314, 	72 ,C,2.58,
SM-6315, 	50 ,C,2.50,
SM-6317, 	72 ,C,2.40,
SM-6321, 	72 ,C,1.70,
SM-6323, 	72 ,C,1.86,
SM-6330, 	72 ,C,2.24,
SM-6336, 	72 ,C,2.39,
SM-6340, 	72 ,C,2.24,
SM-6350, 	37 ,C,3.59,
SM-6352, 	72 ,C,2.60,
SM-6354, 	37 ,C,3.59,
SM-6360, 	100 ,C,1.34,
SM-6388, 	50 ,C,2.87,
SM-6503, 	150 ,C,0.89,
SM-6504, 	150 ,C,1.07,
SM-6513, 	150 ,C,1.16,
SM-6552, 	100 ,C,1.43,
SM-6588, 	50 ,C,1.49,
SM-6600, 	100 ,C,1.34,
SM-6602, 	87 ,C,1.25,
SM-6605, 	75 ,C,1.79,
SM-6607, 	75 ,C,1.79,
SM-6620, 	50 ,C,3.05,
SM-6625, 	100 ,C,1.34,
SM-6628, 	50 ,C,2.42,
SM-6631, 	50 ,C,2.96,
SM-6632, 	62 ,C,2.33,
SM-6633, 	25 ,C,3.23,
SM-6634, 	50 ,C,2.87,
SM-6635, 	75 ,C,1.70,
SM-6637, 	50 ,C,3.05,
SM-6639, 	50 ,C,2.51,
SM-6640, 	75 ,C,2.24,
SM-6645, 	250 ,C,0.59,
SM-6648, 	212 ,C,0.62,
SM-6650, 	125 ,C,0.89,
SM-6651, 	37 ,C,4.49,
SM-6652, 	50 ,C,3.59,
SM-6654, 	125 ,C,0.89,
SM-6656, 	25 ,C,2.60,
SM-6657, 	25 ,C,3.59,
SM-6659, 	50 ,C,2.60,
SM-6670, 	50 ,C,2.51,
SM-6672, 	50 ,C,2.96,
SM-6673, 	50 ,C,3.59,
SM-6675, 	50 ,C,3.14,
SM-6676, 	50 ,C,3.59,
SM-6677, 	25 ,C,3.77,
SM-6678, 	50 ,C,2.93,
SM-6679, 	75 ,C,1.61,
SM-6680, 	75 ,C,2.15,
SM-6688, 	75 ,C,1.70,
SM-6701, 	25 ,C,4.94,
SM-6709, 	50 ,C,2.96,
SM-6710, 	25 ,C,5.30,
SM-6711, 	25 ,C,5.39,
SM-6716, 	50 ,C,3.59,
SM-6717, 	50 ,C,3.05,
SM-6718, 	25 ,C,5.21,
SM-6724, 	37 ,C,4.49,
SM-6726, 	50 ,C,3.05,
SM-6727, 	25 ,C,5.39,
SM-6728, 	75 ,C,1.79,
SM-6730, 	62 ,C,2.33,
SM-6733, 	37 ,C,4.04,
SM-6734, 	50 ,C,3.59,
SM-6739, 	50 ,C,3.14,
SM-6740, 	25 ,C,3.05,
SM-6745, 	50 ,C,3.14,
SM-6746, 	25 ,C,6.74,
SM-6747, 	25 ,C,6.29,
SM-6749, 	25 ,C,5.84,
SM-6771, 	36 ,C,8.09,
